Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
"[7] This sword I use for a sword and an axe:[227] With harness and without, whoever can take me, go ahead. This sword is being used as both a sword and a poleaxe. And its great force can stop any attack from a lighter weapon. This guard is also the High Guard of the Lady, who with her skill can fool the other guards, because you will think she is going to attack you with a strike, but instead she will attack you with a thrust. All I have to do is raise my arms above my head, and I can then quickly launch a thrust at you.",,"[22v-d] ¶ Questa spada si'e spada & Azza. E gli grandi pesi gli licieri forte impaza. Questa anchora posta de donna la soprana, che cum le soi malicie le altre guardie spesso ingana, Per che tu crederai che traga de colpo io traro di punta. Io non ho altro a fare che levar gli brazzi sopra la testa. E posso buttar una punta, che io l'o presta."
"[8] Downward Blows We are downward blows and we dispute By cleaving the teeth with proper intention: We have not delayed in wounding And we return to guard from move to move. We are the downward blows.[228] In this art our method is to cut with precision[229] from the teeth down to the knee. And we can easily end up in any of the low guards. We are highly effective[230] in breaking the other guards, and with each blow we leave a trail[231] of blood. We downward blows strike fast, and thereafter we return to our guard back the way we came.",,"· Colpi Fendenti · [23r-a] ¶ Noii semo fendenti & in l'arte façemo questione de fender gli denti e rivar alo zinochio cum rasone. E ogni guardia che si fa terrena, D'una guardia in l'altra andamo senza pena. E rompemo le guardie cum inzegno. E cum colpi fazemo de sangue segno. Noi fendenti dello ferir non avemo tardo. E tornamo in guardia di vargo in vargo."
"[9] Under Blows We are the blows called Under, Who always seek to strike the hands; And we dispute from the knees up And we teach a lesson by returning with downward blows. We are the rising blows, and we go from the knee to the middle of the forehead, following the same path that the downward blows follow. And we return[232] down the same path as we ascend, unless we choose to remain high in the Long Guard.",,"· Colpi Sottani · [23r-b] ¶ Gli colpi sottani semo noi, e cominzamo alo zinochio, e andamo per meza la fronte per lo camino che fano gli fendenti. E per tal modo che noi montamo per quello camino noii retornamo. Overo che noi remanemo in posta longa."
"[10] Middle Blows We middle blows go crossing; We go wounding from the knee and up; And we beat thrusts out of the way And strike a bargain by redoubling the blow; And if we of the middle blow enter cleaving, We waste many people with such blows. We are the middle blows, and we are so-called because we go crosswise through the middle of the path of both the downward blows and the rising blows. And we strike with the true edge of the sword from the right, and with the false edge of the sword from the left. And our path could be anywhere between the knee and the head.",,Colpi mezani [23r-c] ¶ Colpi mezani semo chiamadi per che noii andamo per mezi gli colpi soprani e sottani. E andamo cum lo dritto taglo dela parte dritta. E dela parte riversa andamo cum lo falso taglio. E lo nostro camino si'e dello zinochio ala testa.
"[11] The Thrusts Thrusts we are, of greatest offense And we make our dispute to all strikes; Venomous we are, more than a serpent, And we kill more people than any strike; And our thrusts to the blows do say: So little do you cut that we sew like a needle. We are the cruel and deadly thrusts. Our target is the body’s center line, and we can strike anywhere between the groin and the forehead. And we thrusts can be made in five ways: two of us can be made from high guards, one from each side, and two can be made from low guards, also one from each side. The fifth one comes from a center line guard, and can be made from Middle Iron Gate, the Short Guard, or the Long Guard.",,"Le punte [23r-d] ¶ Noii semo le punte crudele e mortale. E lo nostro camino si'e per mezo lo corpo cominzando alo petenichio in fin ala fronte. E semo punte de ·Ⅴ· rasone, zoe doii soprane una d'una parte l'altra del'altra. E doii de sotta simile mente un d'una parte e l'altra del'altra. E una di mezo che esse di meza porta di ferro overo di posta lunga e breve."
"[12] The Iron Gate (Powerful)[233] We are called stances and guards by name, And we are each one similar and contrary to another; And following the way we stand and are positioned, We will demonstrate how to make one against another. The Full Iron Gate, I am low to the ground So that I always restrain cuts and thrusts. Here begin the guards of the two handed sword, of which there are twelve. The first is the low[234] Iron Gate, which is a very strong guard, and a good guard in which to wait for an attack by every kind of hand-held weapon, whatever its length,[235] as long as you have a good sword that is not too long. And from this guard if you make cover with a passing step you move to the Narrow Game.[236] Or you can exchange thrusts, striking home with yours.[237] Or, as you step, you can beat the opponent’s thrust to the ground.[238] And this guard can cover attacks from all angles.","[12r-a] Aqui comenzano le guardie de spada a do mane e sono ·ⅻ· guardie, e la prima si e tuta porta di ferro che sta in grande forteza e si e bona da aspetar ogni arma manuale longa, e curta, e pur ch'ello abia bona spada non cura de tropa longheza. Ella passa cum coverte e va ale strette. Ella scambia le punte e le soi ella mette. Anchora rebatte le punte a terra, e sempre va cum passi e de ogni colpo ella fa coverta. E chi in quella gle da briga grande defese fa senza fadiga.","· Porta di Ferro, pulsativa · [23v-a] ¶ Qui cominzano le guardie di spada a doii man. E sono ·ⅻ· guardie. La prima si e tutta porta di ferro che sta in grande forteza, E si e bona d'aspetar ogn'arma manuale longa e curta[239] E pur che'l habia bona spada non curi[!] di troppa longeza. Ella passa cum coverta e va ale strette. Ela scambia le punte e le soii ella mette. Anchora rebatte le punte a terra, e sempre va cum passo e de ogni colpo, ella fa coverta. E chi in quella gli da briga grande deffese fa senza fadiga."
"[14] The Stance of the Queen on the Right (Powerful) I am the Stance of the Queen, noble and proud For making defense in every manner; And whoever wants to contend against me Will want to find a longer sword than mine. This is the Guard of the Lady,[242] from which you can make all seven of the sword’s strikes and cover them too. And from this guard you can break the other guards with the strong blows you can make, and you can also quickly exchange thrusts. Advance your front foot offline, and then pass diagonally with your rear foot. This will take you to a position where your opponent is unprotected, and you will then be able to quickly strike him.[243]","[12r-b] Questa si e posta de donna che po far tuti setti colpi dela spada. E de tuti colpi ella se po covrir. E rompe le altre guardie per grandi colpi che po fare. E per scambiar una punta ella e sempre presta. Lo pe denanci acrese fora de strada, e aquello de dredo passa ala traversa. E llo compagno fa romagner discoverto. E aquello po ferire subito per certo.","· Posta de donna destraza, pulsativa · [23v-b] ¶ Questa si'e posta di donna che po fare tutti gli setti colpi dela spada. E de tutti colpi ella se po crovrire. E rompe le altre guardie per grandi colpi che po fare. E per scambiar una punta ella e sempre presta. Lo pe ch'e denanci acresse fora di strada, e quello di dredo passa ala traversa. E lo compagno fa remagner discoverto, e quello pe ferir subito per certo."
"[15] The Stance of the Window (Fluid) I am the royal Stance of the True Window And I am always quick with the whole art. This is the Window Guard who is always quick, skillful[245] and deceptive. She is a master at covering and striking. She threatens all opposing guards, whether high guards or low guards. She moves quickly from this guard to other guards to confuse her opponent. And she is a very good guard from which to make powerful thrusts, break the opponent’s thrust or exchange points.","[12r-c] Questa si e posta de fenestra dextra che de malicie e inganni sempre e presta, E de covrir e de ferir e lla magistra. E cum tute guardie ella fa questione, e cum le soprane, e cum le terene. E d'una guardia a l'altra ella va spesso per inganare lo compagno. E a meter grande punte e saverle rompere e scambiar. Quelli zoghi ella po bene fare.","· Posta de Finestra instabile · [23v-c] ¶ Questa si e posta di Finestra, che de malicie & inganni sempre la e presta. E de covrir e de ferir ella e magistra. E cum tutte guardie ella fa questione e cum le soprane e cum le terene. E d'una guardia a'l'altra ella va spesso per inganar lo compagno. E a metter grande punte e saver le romper e scambiare, quelli zoghi ella po ben fare."
"[16] The Middle Iron Gate (Stable) The Middle Iron Gate, I am strongest For giving death with thrusts and downward blows: And by extending my sword, I feel that From the narrow play I always defend myself. This is Half Iron Door, because it stays in the middle and is a strong guard. But, she wants a long sword. She throws strong thrusts and beats with force the swords upwards, and returns with a downward blow for the head or arms, and returns to its guard. But it is called Door, because it is strong and it is a strong guard that badly it can break without danger, and without coming to the close.","[12r-d] Questa e meza porta di ferro perche sta in mezo, e de una forte guardia ma ella non vole longa spada, ella zetta forte punte, e rebatte per forza le spade in erto, e torna cum lo fendent per la testa o per gli brazi, e pure torna in sua guardia. Per zo vene chiamada porta, per che ella e forte. E de forte guardia che male se po rompere senza pericolo a venir ale strette.","· Porta di ferro mezana, stabile · [24r-b] ¶ Questa e mezana porta di ferro per che sta in mezo. & e una forte guardia, ma ella vole longa spada. Ella butta forte punte, e rebatte per forza le spade in erto, e torna cum lo fendente per la testa o per gli brazzi, e pur torna in sua guardia. Pero ven chiamata porta per che la e forte E'de forte guardia che male se po rompere senza periculo e venire ale strette."
"[17] The Extended Stance (Fluid) I am the Extended Stance with my short sword And I often strike the throat with cunning. This guard is the Long Guard, which is full of deception. She is skilled in probing[250] the guards to see if she can deceive her opponent. If she needs to strike the opponent with a thrust, she is well-suited to do it. As for the opponent’s blows, she knows how to avoid them and then strike back with blows of her own. This guard employs deception more than any other guard.","[12v-a] Questa si e posta longa ch'e piena de falsita. Ella va tastando le guardie se lo compagno po inganar. S'ella po ferire de punta ella lo sa ben fare, gli colpi ella schiva e poi fiere s'ella lo po fare. Piu che le altre guardie le falsitade sa usare.","· Posta longa, Instabile · [24r-a] ¶ Posta longa si'e questa piena di falsita. Ella va tastando le guardie se lo compagno po ingannare. Se ella po ferir de punta la lo sa ben far E gli colpi la schiva, e po fieri s'ella lo po'fare. Piu che le altre guardie, le falsita sa usare."
"[18] The Frontlet Stance called the Crown (Fluid) The Frontlet Stance, I am called the Crown; I pardon no one, not from the edge nor from the point. This is the Forehead Guard,[251] called by some instructors[252] the Crown Guard. She is a very good guard for crossing swords,[253] and is also very good against thrusts. If she is attacked with a high thrust, she crosses swords while stepping off line. If she is attacked with a low thrust, she also steps offline, but this time she drives the opponent’s sword to the ground. She can also do other things. For example, in response to a thrust she can pass backwards with the front foot and respond with a downward strike to the head or arms, ending in the Boar’s Tusk, then she can quickly throw a thrust or two with advancing steps, then deliver a downward strike, ending in that same guard.","[12v-b] Questa si e posta frontale e alchuni magistri la chiamano posta di corona. Che per incrosar ella e bona, e per le punte, ella e anchora bona che se la punta gle vene trata erta ella la incrosa passando fora de strada. E se lla punta si ven trata bassa anchora passa fora de strada rebatendo la punta a terra. Anchora po fare altramente, Che in lo trar dela punta torni cum lo pe indredo, e vegna di fendenti per la testa e per gli brazi e vada in dente do zenghiaro e subito[255] bute una punta, o doe cum acreser de pe, e torni[256] di fendent cum quella propria guardia.","· Posta frontale ditta corona Instabile [24v-c] ¶ Questa si'e posta frontale, chiamada d'alchuni magistri posta di corona, che per incrosar ella e bona, e per le punte ell'e ancora bona, che se la punta gle ven tratta erta, ella la incrosa passando fuora di strada. E se la punta e tratta bassa, anchora passa fuor di strada rebattendo la punta a terra. Anchora po far altra mente, che in lo trar dela punta torni cum lo pe indredo e vegna da fendente per la testa e per gli brazzi e vada in dente di cengiaro e subito butti una punta o doe cum acresser di pe e torni di fendente in quella propia guardia."
"[19] [The Stance of the Queen on the Right] Again, I am the Stance of the Queen against the Boar's Tusk; With malice and trickery, I will give of [my sword] in a brawl.","[12v-c] Questa si e posta de donna che po tuti gli setti colpi fare della spada fare. E de tuti colpi ella se po covrire. E rompe le altre guardie per grandi colpi che po fare. E per scambiar una punta ella e sempre presta. Lo pe ch'e denanci acrese fora de strada, e aquello de dredo passa ala traversa. E lo compagno fa romagnire discoverto. E aquello po ferir subito per certo.",
"[20] The Wild Boar's Tusk (Stable) I am the strong Stance of the Boar's Tusk. My tactic against all the guards is to probe. This is the Boar’s Tusk,[261] because it strikes the way the wild boar strikes.[262] Sometimes it makes powerful thrusts from below up into the face, without stepping forward, and it returns along the same path with a downward strike to the arms. Other times as it thrusts the point of the sword high into the face, it advances the front foot forwards, then returns to its guard with a downward strike to the head or the arms. Then it quickly launches another thrust with another advance of the front foot. And this guard can mount a good defense against the Narrow Game.","[12v-d] Questo si e dente de zenghiar, che dello dente de zenghiar fa simile modo de ferir. Ello tra grande punte, per sotto le mane in fin al volto, e non se move de passo, e torna cum lo fendente, zo per li brazi. E alchuna volta tra la punta al volto, e va cum la punta erta, e in quello butar de punta, ello acrese lo pe ch'e denanzi subito, e torna cum lo fendente per la testa, e per li brazi, e torna in sua guardia, e subito zetta un'altra punta cum acresere de pe, e ben se defende dalo zogo streto.","· Dente di cenghiaro stabile · [24r-d] ¶ Questo si'e dente di zengiaro pero che dello zengiaro prende lo modo di ferire. Ello tra grande punte per sotto man in fin al'volto e no si move di passo, E torna cum lo fendente zo per gli brazzi. E alchuna volta tra la punta al volto, e va cum la punta erta, e in quello zitar di punta ello acresse lo pe ch'e dinanzi subito, e torna cum lo fendente per la testa e per gli brazzi e torna in sua guardia, e subito zitta un'altra punta cum acresser di pe, e ben se defende delo zogo stretto."
"[21] The Shortened Stance (Stable) I am the Shortened Stance and I have the length of the sword; Often I thrust the point and then return with cunning. This is the Short Guard that is more effective with a longer sword. It is a deceptive guard but it is risky to wait in. It is constantly moving, trying to see if it can enter with a thrust and a step against the opponent. And this guard is more effective in armor than without armor.","[13r-a] Questa si e posta breve che vole longa spada, ed e una maliciosa guarda che non ha stabilita. Anche sempre se move, e guarda se po intrar cum punta e con passo contra lo compagno, e piu e apropiada tal guardia in arme che senza arme.",· Posta breve stabile · [24r-c] ¶ Questa si e posta breve che vole longa spada & e maliciosa guarda che non a stabilita. Anche sempre si move e vede se po entrar cum punta e cum passo contra Lo compagno. E piu e apropiada tal guardia in arme che senz'arme.
"[22] The Stance of the Queen on the Left (Powerful) I am the left Stance of the True Window; I am just as swift in this one as from the right. This is the Guard of the Lady on the left, and she is always quick to cover or strike. She generates powerful blows and easily breaks the thrust, driving it to the ground. Also, because of her skill in traversing, she can quickly enter into the Narrow Game, a game she is very familiar with.","[13r-b] Questa si e posta de donna la sinistra che de coverte e de ferire ella e sempre presta. ella fa grandi li[266] colpi e rompe le punte, sbattele a terra. E intra in lo zogo stretto, per lo saver atravesare. Aquisti zoghi tal guardia sa bene fare.","· Posta di donna la sinestra, pulsativa · [23v-d] ¶ Questa si e posta di donna la senestra, che de coverte e de ferir, ella e sempre presta. Ella fa grandi colpi e rompe le punte, e sbattele a terra. E intra in lo zogho stretto per lo suo saver traversare. Questi zogi tal guardia sa ben fare."
"[23] The Stance of the Long Tail (Stable) Stance of the Long Tail, I am extended to the ground Forward and backward, I always make offense: And if I step forward and enter with a downward blow, I come to the narrow play without fail. This is the Long Tail Guard Guard that extends behind you down to the ground. She can attack with a thrust, and can also move forwards to cover and strike. And if she passes forward while striking downwards she can easily enter the Narrow Game. This is a good guard to wait in, because you can quickly transition from it into other guards.","[13r-c] Questa si e posta de coda longa ch'e distesa in terra de dredo ella po mettere punta, e denanci po covrir e ferir. E s'ello passa innanci e tra delo fendente. In lo zogo stretto intra senza falimento. Che tale guardia e bona per aspetare. Che de quella in le altre tosto po intrare.","· Posta di choda longa stabile · [24v-a] [268]¶ Questa si e posta di coda longa ch'e destesa in terra di dredo, ella po metter punta, e denançi po covrir e ferire. E se ello passa inançi e tra del fendente, in Lo zogo stretto entra senza fallimento, che tal guardia e bona per aspettare, che de quella in altre tosto po intrare."
