Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
"I choose to symbolize my skill with the broken arms I carry. And I do not lie when I tell you that I have broken and dislocated many arms in my life. And whoever chooses to go against my art, will find me always ready to use that art against him.",,"[10r-b] ¶ Per gli brazzi rotti ch'io porto, io voglio dir mia arte, ch'e questa senza voler mentire, che assaii n'o rotti e dislogadi in mia vita, e chi contra mia arte se mettera voler fare, Tal arte sempre io son per voler usare."
,,
"[15] Locking the arms of all opponents In such a way that none can safely extend their right hand, To show my success I carry a pair of keys in my hand.",,
I am the Master of the unlocking and locking of the arms of those who choose to oppose me. I will cause them great pain and suffering with my techniques of binding and dislocating. And therefore I carry these keys to signify the value of my art.,,"[10r-c] ¶ Io son magistro de avrire e anche di serare zoe gli brazi a chi contra mi vol fare, yo lo mettero in grande brige e stente per modo che le ligadure e rotture sono depente. E per zo porto le chiave per insegna, che tal arte ben m'e degna."
,,
"[16] You ask how I force others to the ground under my feet with such prowess, I tell you that because I grapple each man and throw him down; The victory palm is appropriately held in my right hand.",,
"You ask how it is that I have this man held under my feet. Thousands have suffered this fate because of my art of Abrazare. And I carry the victory palm in my right hand, because no one can stand up to my grappling skills.",,"[10r-d] ¶ Me domandavoii per che io tegno questo homo sotto gli miei piedi, per che miglara n'o posti a tale partito per l'arte dello Abrazare. E per vittoria io porto la palma in la man destra pero che dello abrazare za mai non fo resta."
,,
"[17] I am the First Master of the Dagger, full of guile, And with my left hand I will wind the dagger around your arm, And truth to tell I can make many other plays, And my students will do them cunningly. I am the first master and I am called Remedy, because I know how to remedy so well that you cannot harm me whereas I on the contrary can strike you and hurt you. And I cannot make a better play against you than to make your dagger go to the ground, by turning my hand to the left.",,"[10v-a] ¶ Io son primo magistro e chiamado rimedio, pero che rimedio tanto e a dire che savere rimediare che non ti sia dado, e che possi dare e ferire lo tuo contrario inimigho. ¶ per questa che meglo non si po fare, la tua daga faro andar in terra. Voltando la mia mane a parte sinestra."
"[18] If I make a turn around your arm with my dagger, I will strike you in the chest, and it will not be taken from me. I will turn my dagger around your arm. And because of this counter you will not be able to take the dagger from me. And also with this turn I can drive it into your chest without a doubt.",,[10v-b] ¶ Cum mia daga intorno'l tuo brazo daro una volta. E per questo contrario la daga tu non me lla avarai tolta. ¶ Anche cum questa volta ch'io fazo senza dubio io te la fichiro in lo tuo petto.
"[19] With your right arm locked under my left, I can cause you much harm while keeping you trapped. I will lock your arm in the middle bind, and I will do it in such a way that you will not be able to give me any trouble. And if I wish to put you to the ground I will do so with little effort, and you will have no chance of escaping. [In the Getty, the Scholar steps with his left foot in front of his opponent's right, not behind.]",,[10v-c] ¶ In la mezana ligadura t'o serato'l brazo per sì fatto modo che tu non mi poi fare alchun impazo. E se ti voglo sbatter in terra a mi e pocha briga. e de fuzirme non ti dar fadiga.
"[20] If you wind around my arm and try to lock it in this way, I will put you in the lower bind and this hold will make things hard for you. I make the counter to the play that came before me. You can see the kind of position that I have put him in. I will break his arm or quickly throw him to the ground.",,"[10v-d] ¶ Lo contrario del zogho che m'e dinanzi io lo faro voii possi vedere a qual partido i'l'o posto. Rompero gli lo brazo, o sbatero lo in terra tosto."
"[21] If I can turn this arm of yours, I will make you suffer with a middle bind. This is a good cover from which to take the dagger from your hand, and with this grip I will be able to bind you well. And this art is so effective that if I place my right hand under your right knee, then I will put you to the ground.",,"[11r-a] ¶ In bona choverta per tor ti la daga di mano. Anchora per tal presa te poria ben ligare. E se io metesse la mia man dritta sotto lo tuo dritto zinochio, In terra te faria andare, pero che quest'arte ben la so io fare."
"[22] You will not make me suffer in the middle bind When I meet you with this counter and make you let go. I make the counter to the play that came before me, so that you will not be able to throw me to the ground, nor take the dagger from me, nor bind me either. You will have to let go, or else you will be quickly stabbed by my dagger.",,"[11r-b] ¶ Lo contrario del zogho che m'e denanzi i'son per fare. Che tu non mi porai zitar in terra, ne tor mi la daga, Ne anchora ligarme. Ma tu convien lassare al tuo mal grado o de mia daga subito sara incassado."
"[23] This is a play with no counter, and it is inevitable that the player will go to the ground and lose his dagger if the student performs this technique as depicted. And when the player is thrown to the ground, the student can finish him in various ways.",,"[11r-c] ¶ Questo si'e un zogho senza alchun contrario, E convene che per forza lo zugador vada per terra. e ch'ello perda la daga lo scolaro como voi vedete questo che digo al zugador po fare. E quando lo sera in terra altro ara a'terminare."
"[24] This play is rarely used in the art of the dagger, yet it is an additional defense to know. For after beating aside the attack in this way, the scholar can then strike with a counter to the ribs or the stomach.",,"[11r-d] ¶ Questo zogo si'e pocho usado in l'arte di daga, ma purr e defesa e piu savere, che lo scolaro cum tal rebattere fatto in tal modo, fa ferire lo zugadore zoe lo suo contrario in la chossa overo in lo ventre."
[25] This bind is easy for me to do And from it I will be able to strike you in the back. I am a counter to the First Dagger Remedy Master. Woe to he who remedies with techniques that allow his left hand to be seized. And from this hold I will be able to drive the dagger into his back. [These two illustrations seem to show the beginning and end of the technique.],,"[11v-a] ¶ Io son contrario del primo Re di daga ditto Rimedio. Che male sa rimediare soii zoghi chi la sua mano stancha la lassa piglare. E per tal presa che o, la daga in la schena gli posso fichare."
"[26] I make the counter-counter to the First Master, For the counter-counter is a fine master.",,
"[27] I make the counter-counter against the First Master, And I will be first to take away the dagger every time.",,
"[28] I counter the First Dagger Master And I will strike your arm from above. [In the Pisani Dossi, the Master is missing his crown.]",,
"[29] I make the counter to the First Master With this cover I will hurt him and worse. I am also the counter of the First Dagger Remedy Master, and when his student grips me like this [10], I will strike him, and make him let go. And if he tries to do other plays against me, I will counter him without hesitation.",,"[11v-b] ¶ Anchora mi son contrario di questo primo rimedio di daga, pero che la presa che mi fa lo suo scolaro, Per tal modo lo feriro, e me convegnira lassare. E si altri zoghi vora contra me fare, lo contrario gli faro senza nissun tardare."
"[30] In the previous counter I told you that you could hurt him and worse; Here I show you how this can be done. This flows from the counter referred to in the previous play. It also flows from the counter referred to two plays back [10], where the Counter Remedy Master has trapped the hand of his opponent with his dagger, and where he told you that he can drive the dagger into his opponent’s back. My play comes from that play, but where he says you drive the dagger into your opponent’s back, I drive it into his chest. But this still flows from the previous play, even though I choose to finish it differently. [In the Getty, the Master's right foot is outside (in front) of his opponent's left foot.]",,"[11v-c] ¶ Questo e un contrario che non e mio. Anche lo zogho di questo contrario ch'e sopra de mi, zoe lo segondo contrario che ha ligada cum la sua daga la mano del compagno, che dise che'l po fichare la daga in la schena al compagno. E quello so zogho de luii i façço. ¶ Ben che luii dise in la schena. E mi la metto in lo petto, & e pur suo zogho per che chosi po fare."
"[31] I am well placed and positioned to force you to the ground; If you do not know the counter, I will throw you down immediately. I am the student of the first Master of [Dagger] Remedies. And with this grip I seek to take your dagger and bind your arm, and since I do not believe that you know how to counter me, I will do this to you without delay. [The Getty resembles the Paris. These two illustrations may show progressive stages of the technique.]",,"[11v-d] ¶ Io son scolaro del primo Re e Rimedio. E cum questa presa ti voglo tor la daga, e ligarte lo brazzo. Pero che non crezo che lo contrario tu mi sapi fare, E pero ti fare questo sença tardare."
"[32] I make the counter like this, And I know well how to strike you from here. I counter you like this, so that you will neither take my dagger nor bind my arm, and my dagger and I will remain at liberty. And then I will be able to strike you when you let go of me in such a way that you will have no defense.",,"[12r-a] ¶ Lo contrario per questo modo ti fazzo che tu non mi torai la daga, ne mi ligara lo brazo. E mi e mia daga remaremo in libertate. E poi ti ferirò in lo lassar che tu mi faraii, per modo e maniera che defesa non averai."
"[33] To make a much stronger cover I cross my arms in this manner; And from here I can do all the previous remedies. This cover is known to be much stronger and I make it so as to be able to obstruct you with various plays. And you cannot overcome such a strong cover, because two arms can easily oppose one arm.",,"[12r-b] ¶ Questa coverta si chiama pie forteza, e per ço la faço per podere cum parechi zoghi farte impaço. E tal forza non mi poi tu anichilare, per che doii brazi ben po uno contrastare."
"[34] With this counter the previous cover will meet with failure; After I have made you turn I will strike you with my dagger. This is the counter to the cover that came before, that I told you was much stronger. And I will turn him with my left hand. Having turned him, I will not fail to strike him.",,[12r-c] ¶ Questo e'l contrario di questo zogho ch'e denanzi ch'e chiamado piu forteza. E lo voltero cum la mia man stancha. Dada gli la volta a ferirlo no mi mancha.
"[35] Since my Master’s technique will not fail me, I will break your arm over my shoulder. With this excellent presa that I have made against you, I will not fail to break your arm over my left shoulder. And afterwards I can strike you with your own dagger, since this play will not fail me.",,"[12r-d] ¶ Per bona presa che o contra te fatta non mi falla che non ti rompa lo brazo sopra la mia mancha spalla. E poii cum la tua daga te poro ferire, e questo zogho non e miga da fallire."
"[36] You will not break my arm over your shoulder, For with my counter I will throw you to the ground. I make this counter to you who in the previous play intended to break my arm over your shoulder. I will throw you to the ground to your death with great force and you will cause me no further injury.",,"[12v-a] ¶ Per quello che al zogho ch'e denanzi volesti romper[140] sopra la tua spalla lo brazo, per quello zogho questo contrario ti fazo. Che per tal forza in terra te sbatero per morto, a ço che a mi ni altri piu mai fazi torto."
"[37] Your dagger will quickly be taken from you, When I twist it upwards close by your elbow. I am in a good position to take the dagger from your hand, and to do it I push the point upwards, close to your elbow. And you will lose it, and I will quickly strike you with it. I took the dagger in this way because I was not able to bend your arm.",,"[12v-b] ¶ La daga di mane ti toro che son ben aparechiado. e la punta ti traro in erto per apresso lo tuo cubito. E quella perderaii e firiro te cum lei subito. Per che io non t'o possudo piegar lo brazo, tal tor di daga io ti fazo."
"[38] My dagger will not be taken by your turning it, And I will strike you with it without fail. I make the counter of the play that came before, so that you will not be able to take my dagger in that way. I will press my dagger into your hand, to make you let go, and with the cruel point I will strike you for your trouble.",,"[12v-c] ¶ Lo contrario ti faço del zogo ch'e denanci, per che tu no mi togli la daga a si fatto modo. Faro che la mia daga penzando te cum la mano mia stancha, lassaraii. e cum crudele punte te firiro cum tuo guaii."
"[39] I will have no problem making you fall to the ground, But you will have a major problem trying to get up. In this way you will be driven into the ground, and you will not be able to make any defense or counter. And I will quickly make the dagger that you hold in your hand go far from you, because of my skillful knowledge of this art. [In the Pisani Dossi, the Scholar steps inside of his opponent's right leg.]",,"[12v-d] ¶ In terra del tutto ti convien andare e defesa, o ver contrario non poraii fare. ¶ E la daga da ti faro andar luntana, piu tosto che ti la pigliro in mano pero ch'io so quest'arte cum ogni ingano."
"[40] I do not want to fall to the ground with the previous play, So with this grip I will take away all of your strength. What you plan to do cannot always be done. I am the counter of the scholar who came before, and this counter will make him look very foolish, because in this way I will make him let go my leg. And I will drive the dagger into his face to demonstrate that he is indeed a great fool. [In the Pisani Dossi, the Master is missing his crown.]",,"[13r-a] ¶ Zo che si dise non ven og'ora fatto. Io so lo contrario del scolaro ch'e denanzi lo qual e un grando matto, che tanto o sapudo fare che la gamba mia convegnu lassare e per questo modo gli metto la daga in lo volto, per mostrar ch'ello sia matto e stolto."
"[41] And I make cover with arms crossed, And I can make all the previous remedies, Nor will I fail to cover any of the backhand strikes, For I can do them all, one by one. I play with my arms crossed, and can make all the remedies that were previously shown. And if we were both armoured, you could not make a better cover. No other crowned [Dagger] Remedy Master makes a stronger cover than I, for I can play both to the right and to the left, and I can cross from both underneath and from above.",,"[13r-b] ¶ Io zogho cum gli brazi crosadi per far li remedii che denanzi sono passadi. E si noii fossemo trambi doii armadi non curarem di far miglor coverta. Piu forte rimedio di mi non porta corona. pero ch'i posso zugare dritto e riverso, Anchora incrosare di sotto chome di sopra."
"[42] You won’t be able to make the plays that came before, nor the plays from the backhand strikes [that follow], Because with this counter, your cover will be completely lost. I counter the [Dagger] Remedy Master who made the cross before me, so he will not be able to cause me any problems with his crossing. I will give a push to his elbow to make him turn, and then I will quickly strike him.",,"[13r-c] ¶ Lo contrario del Re che incrosa denanci, io fazo che cum suo incrosar non mi fara impaço, che tal penta gli daro al chubito, che lo faro voltare, e feriro lo subito."
"[43] Take the dagger, dislocate your arm, bind you, Or throw you to the ground–I can do all of these things. I believe that this very strong grapple is fatal to anyone, because I can break your arm, throw you to the ground, or take your dagger. I can also hold you bound in the upper bind. And as a result of these four things, you will be unable to get away.",,"[13r-d] ¶ Per questa presa che o tanto forte, a zaschuno crderia[!] dar la morte. Pero che ti posso romper lo brazo e posso te butar in terra, e si posso tor ti la daga. Anchora ti tegno in la soprana ligadura ligado. E de queste quatro chose, de mi non saraii liberado."
"[44] As for the four plays you mentioned, you won’t be able to do any of them to me, And with this counter I will throw you to the ground. I know the counter to the previous play. And with this grapple I will counter all four of the plays he said he could do before. And as soon as he sees me, I will throw him to the ground, for this grapple is strong and fierce.",,"[13v-a] ¶ Io so lo contrario del zogho passado qui inanzi. E si digo ch'io rompo cum questa presa tutti gli soy quatro zoghi detti denanzi. E non mi po vedare che io non lo sbatta in terra, per la presa che o forte e fiera."
,,
,,
"[45] Here begin the powerful plays of the backhand attack,[144] Through which many have been killed. And the plays of my scholars will follow, And so we begin the defense to the backhand attack.[145]",,
"[46] With this play of the Master, your dagger will be taken And I will strike you a mortal blow.",,
"[47] Here I believe I will throw you to the ground. First I will do this to you, and then I will do worse to you. Here begin the plays of the reverse strikes,[146] through which countless men have lost their lives. And the plays of my scholars will follow, demonstrating the cover made with the right hand. This play depicted is easy to do, and in this way I will throw this man into the ground. [In the Getty, this Scholar is the Master.]",,"[13v-b] ¶ Qui comenzan çoghi di man riversa, per li quali infiniti ano lor vita persa. E li zoghi li mei scolari seguirano, pur per la coverta qual io fazo cum la destra mano. ¶ Questo e un zogho liziero da fare per tal modo chostuii voglio in terra riversare."
"[48] You will go to the ground because of your lack of knowledge, And in armor this is a particularly safe throw. With this method you will be driven into the ground. And I could not make a safer throw, being armoured. But even without armour, there is nothing you can do. And even if you were strong and powerful, I would still be able to do this to you.",,[13v-c] ¶ Per questo modo in terra saray zitado. E piu sigura mente lo faria se fosse ben armado. Che anchora desarmado non mi poii far niente. E questo ti faria s'tu fosse anchora piu possente.
"[49] This leads to a broken ruined arm, As you will find out when I have you in this hold. You will go to the ground and your arm will be dislocated by the skill of my crowned Master. And there is not one counter that you can do to me, for I hold you like this…",,[13v-d] ¶ Tu vaii in terra e lo brazo t'e dislogado per l'arte del mio magistro ch'e incoronado. E nissun contrario non mi poii tu fare. Che qui ti tegno per far te piu stentare.
[50] I will have no trouble dislocating your arm And I will easily take your dagger from you. …and will make you suffer greatly.,,[13v-d] ¶ Tu vaii in terra e lo brazo t'e dislogado per l'arte del mio magistro ch'e incoronado. E nissun contrario non mi poii tu fare. Che qui ti tegno per far te piu stentare.
"[51] This is another powerful dislocation From which I will be able to kill you with your own dagger. This is a lock that has no counter and no defense. And in this way I can take your dagger, and it will be no trouble to bind or dislocate your arm. You will not be able to get away without my permission. And I can ruin your arm if I choose.",,"[14r-a] ¶ Questa e una presa la qual no a contrario ne deffesa. E qui la daga ti posso tore. E a ligarte non m'e fadiga. Dislogarte'l brazo, e non me briga. Partir non ti poii sença mia libertade. E guastar ti posso, a mia voluntade."
"[52] I take your dagger as I wish, And now if I choose, I can bind you in the lower lock. You will lose your dagger by the way I hold you. And after taking your dagger I can bind you. and make you suffer in the lower lock, which is one of the key binds, and which I will use on you. And whoever is put into this lock cannot escape, because of the great pain and suffering they will be forced to endure.",,[14r-b] ¶ La daga tu perdi per tal modo che ti tegno. E tolta ti la daga io ti posso ligare. E in la ligadura di sotto ti faro stentare. Quella ch'e la chiave del abrazare In quella ti voglio ligare. E chi gl'intra non gli po essire. Pero grande pene e stente gli conven sofrire.
"[53] I will turn your dagger upwards with my right arm, And I will quickly bind you in the lower lock.",,
"[54] This is called the strong lower lock, And it is a bind with a great risk of death But this lock, truth to tell, If not properly applied can be escaped from. This is called the lower lock, also known as the “strong key”, and from this bind I can kill you, whether you are armoured or unarmoured, because from here I can strike you in all of your most vulnerable places. And no one can escape from this bind. And if you are put into it, as depicted in the drawing, there you will remain enduring much pain and suffering.",,"[14r-c] ¶ Questa e chiamada ligadura di sotto e la chiave forte. che cum tal ligadura armado e disarmado se po dar la morte, che in tutti loghi pericolosi po ferire. E di si fatta ligadura no po essire. E chi gl'entra gli sta cum briga e cum stenta. Segondo che si vede ne la figura dipenta."
"[55] This is how to do the counter to the Master's cover to the reverse strike,[151] And with this bind I will make you drop to the ground on your knees. This is the counter to the Third Daga Remedy Master, who covers the reverse attack.[152] I have made this bind against him. Whether he is armoured or unarmoured, this bind is strong and secure. And if I trap a man who is unarmoured in this way, I will ruin his hand and dislocate it. And the pain will be so great I will make him kneel at my feet. And should I wish to strike him, this I can also do. [In the Getty, the Master's left foot is forward.]",,"[14r-d] ¶ Questo e lo contrario del terzo Re çoe quello che zogha a man riversa. I o, fatta contra luy questa ligadura. Armado e disarmado ella e bona e sigura. E se un disarmado piglo in queste modo, guasto gli la mane, e anchora la disnodo dislogo. E per doglia sotto gli mie pie lo faro inzenochiare. S'io lo voro ferire, quello poro ben fare."
"[56] I am a Master who covers with both hands, And I can hurt you from above or below. If I give a turn to your shoulder without releasing your arm, Then in this way I and my students will put you in great pain. I am the Fourth [Dagger Remedy] Master, and I play from this grip. From covers like this my students will hurt many. And if I turn to the right without releasing your arm, I will take your dagger and put you in great pain.",,[14v-a] ¶ Lo quarto Magistro so chi zogho cum questa presa. Cum simile che questa gli mie scolari a molti farano offesa. E si io mi volto da parte dritta e non ti lasso'l brazo. Io ti toro la daga e faro ti cum leii impazzo.
"[57] My Master spoke truly and unerringly: I can take your dagger, while you cannot escape.",,
"[58] I am well positioned to force you to the ground, And if you don't end up with a broken head, you can count yourself lucky. This is an upper bind that locks you up very well. I will take your dagger from you and throw you to the ground. And I can also dislocate your arm. If however you grip your right hand with your left hand, then you can counter me and make me let go of you. [These two illustrations may show the beginning and end of the technique.]",,"[14v-b] ¶ Questa e una ligadura soprana che ben si serra La daga ti posso tore e meter te in terra. Anchora lo brazzo ti posso dislogare, si tu piglassi cum la tua man stancha la tua dritta, el mio contrario saria, e convegneria ti lassare."
"[59] This is another lock that will throw you to the ground, And against such a hold no one is safe. This is another upper bind that is very powerful. And with this I am certain to throw you to the ground. And if I wish I can dislocate your arm. To counter me, you grip your right hand with your left hand. Then your grip will be strong and mine will be weak. [In the Getty and Paris, the Scholar's left foot is forward.]",,"[14v-c] ¶ Questa e un'altra soprana ligadura ede ben forte. E per metter te in terra io son ben certo E dislogarte lo brazo o romperlo qual i voglo ti fazo. ¶ Lo contrario mio si e. Se tu pigli la cum la man stancha la tua dritta. La tua presa sara bona, e la mia sara fallita."
"[60] As I see this you will quickly go to the ground, Of this I am certain, and you won't be getting back up.",,
"[61] I can also throw you to the ground like this, And once you are on the ground it will go badly for you. After I made the cover of my Master, I put my left hand under your right elbow. And my right hand quickly gripped you under your knee in such a way that I could throw you to the ground, and there was no counter that you could do to me.",,"[14v-d] ¶ Quando io fici la presa del mio Magistro, la mia man stancha miti sotto el tuo dritto cubito. E la mia man dritta te prisi sotto lo zinochio subito per modo che in terra ti posso zitare, e nissun contrario non mi porai fare."
"[62] I will give a turn to your dagger, And in that way it will be quickly taken from you. With my right hand I will make a horizontal turn to your dagger, pushing it round close to your arm that I am holding. And your dagger will be mine to control. And then I will deal with you as you deserve.",,"[38r-a] ¶ Cum la mia man dritta daro volta tonda ala tua daga, menandole in erto per apresso el tuo brazo che tegno. E la tua daga mi remagnira in mano per pegno. E poi ti trattaro segondo che sei degno."
"[63] If I raise your dagger upwards close to your elbow, You will feel it instantly taken from you. If I raise your dagger upwards close to your elbow, I will keep it in my hand and strike you for certain. But I will need to make this play very quickly, to make sure that you cannot counter me with your left hand.",,"[38r-b] ¶ Si questa daga per apresso'l tuo cubito levo in erto in mia man remara a firirte per certo. Ben che questo zogho si vol far ben presto, per che lo contrario no gli faza sinestro."
"[64] I moved my right hand like this, And I will make you strike yourself in your thigh with your own dagger.",,
[65] Against the Master who covers with both hands I make this counter as my defense.  I am the Counter-remedy against the Fourth [Dagger] Remedy Master. And I counter all his plays that came before me. And with one quick wrench like this I will ruin this student’s hand and his master’s too. And if they are well armored the ruin of their hands will be all the more certain.,,"[38r-c] ¶ Del Quarto Re e magistro io son contrafattore, E questi zoghi due ch'e denanzi de mi sono fazzo lo contrario, che per tal modo gli guastaro le man a'lor e a'lor Magistro cum una tratta che faro subito. Se elli fosseno ben armadi, io gli guastaria senza dubito."
,,"[38r-d] ¶ Io son Quinto Re Magistro per lo cavezzo tenudo di questo zugadore. Inanzi ch'ello mi traga cum sua daga, per questo modo gli guasto lo brazo, per che lo tenir ch'ello mi tene a mi e grande avantazo. Che io posso far tutte coverte prese e ligadure degl'altri magistri rimedii e di lor scolari che sono dinançi. Lo proverbio parla per exempio. Io voglio che ogn'un'ch'a scolaro in quest'arte sazza, che presa di cavezo nissuna deffesa no impaça."
,,"[38v-a] ¶ Questo e un altro modo di guastarte lo brazzo. E per venir in altri zoghi q e prese, io questo zogho fazo. Anchora digo che se fossi afferradi d'una lanza cum tal firir in lei, overo che me disferraria, overo che l'asta del ferro io partiria."
,,"[38v-a] ¶ Questo e un altro modo di guastarte lo brazzo. E per venir in altri zoghi q e prese, io questo zogho fazo. Anchora digo che se fossi afferradi d'una lanza cum tal firir in lei, overo che me disferraria, overo che l'asta del ferro io partiria."
,,"[38v-b] ¶ Questo e un altro far lassar anchora e meglor da disferar una lanza. Anchora digo che se cum forza io ti fiero in la zuntura dela man che mi tene per lo cavezzo, Io mi tegno certo che io te la dislogaro, se tu non la fuzi via. Lo contrario io lo voglio palentare. In quello che lo scolar vene zo cum gli brazzi per dislogar la mane delo zugadore, subito lo zugadore de tore via la mano del cavezzo delo scolar. E subito cum la daga in lo petto lo po guastar."
,,"[38v-b] ¶ Questo e un altro far lassar anchora e meglor da disferar una lanza. Anchora digo che se cum forza io ti fiero in la zuntura dela man che mi tene per lo cavezzo, Io mi tegno certo che io te la dislogaro, se tu non la fuzi via. Lo contrario io lo voglio palentare. In quello che lo scolar vene zo cum gli brazzi per dislogar la mane delo zugadore, subito lo zugadore de tore via la mano del cavezzo delo scolar. E subito cum la daga in lo petto lo po guastar."
,,"[38v-c] ¶ Per questo modo in terra ti voglio butare inanzi che la daga mi vegna aproximare. E si la daga tua sara a'mezo camm per me ferire, Le prese ch'i'o lassaro e la tua daga voro seguire. Che tu no mi pora offender per modo che sia, che cum li zoghi deli rimedii ti faro vilania."
,,"[38v-d] ¶ Questo e un zogho di farse lassar, Salvo che si lo mio pe dritto dredo lo tuo stancho io faczo[!] avanzare, tu porissi andar in terra senza fallo. E si questo zogho a mi non basta, Cum altri, dela tua daga ti faro una tasta. Pero che'l mio chore e'l'ochio altro non guarda, che a tor ti la daga senza dimora e tarda."
