Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
"The scholar that came before me speaks truly that from his hold he will force his opponent to the ground or dislocate his left arm. As he told you, if the Zugadore takes away his left hand from the shoulder of the Remedy Master, then the Remedy Master transitions to the Third Play, as you see depicted here. Thus, the First play and the Second play are really one single play, where the Remedy Master forces the Zugadore to the ground with a turn of his body, while in this Third play the Zugadore is thrown to the ground onto his back.",,"[6v-c] ¶ Questo scolaro ch'e denançi de mi dise ben lo vero che dela sua presa convene che vegna in questa per metterlo in terra overo dislogargli'l brazo stancho. Anchora digo che si lo zugadore levasse la man stancha dela spalla del magistro che lo Magistro, che lo magistro[119] 'rivaria al terço zogho simile mente chomo vedeti depento. Sì che per lo primo zogho e per lo segondo che uno proprio zogho, e'llo magistro lo manda in terra cum lo volto, e lo terzo lo manda cum le Spalle in terra."
,,
"[9] Even if you were a master of grappling, I will force you to the ground with this technique.",,
"This is the Fourth Play of Abrazare, by which the Scholaro [Student] can easily force the Zugadore to the ground. And if he cannot force him to ground like this, he will seek other plays and techniques and use other methods, as you will see depicted below. You should know that the plays and the techniques will not always work in every situation, so if you do not have a good hold, you should quickly seek one, so as not to let your opponent gain any advantage over you.",,"[6v-d] ¶ Questo e lo quarto zogho de Abrazare ch'e liziero se lo scolaro po metter lo zugadore in terra. E se non lo po mettere per tal modo in terra, ello zerchera altri zogi e prese como si po fare per diversi modi chomo vedereti al dredo noii depento, che posseti ben savere che gli zoghi non sono eguali ne le prese rare volte, e pero chi non a bona presa, se la guadagni piu presto che'l po, per non lassare avantazo al nimigho suo."
,,
"[10] With the grips that I have on you above and below, I will break open your head on the ground.",,
"This grip that I make with my right hand at your throat will bring you pain and suffering, and with it I will force you to the ground. Also let me tell you that if I seize you under your left knee with my right hand, I will be even more certain of driving you into the ground.",,"[7r-a] Questa presa che o cum la mia mano dritta in la tua gola, io te fazo portare doglia e pena, e per quello tu andaraii in terra. Anchora digo che se ti piglio cum la mia mano mancha sotto lo tuo stancho zinochio che saro piu certo de mandarte in terra."
,,
"[11] Your hand in my face is well placed, But I will now show you some other moves.",,
"I am the counter of the Fifth Play [10] that is shown earlier. And let me explain that if with my right hand I push up the elbow of his hand that seeks to harm me, I will turn him in such a way that either I will force him to the ground, as you see here depicted, or I will gain a hold or a lock, and so I will have little concern for his grappling skills.",,"[7r-b] ¶ Io son contrario del ·Ⅴ·to zogo denanci apresso. E si digo che se cum la mia mano dritta levo lo suo brazo dela sua mane che al volto mi fa impazo, faro gli dar volta per modo ch'io lo metero in terra, per modo che vedeti qui depento, overo che guadagnaro presa o ligadura, e de tuo abrazar faro pocha cura."
"[In the Pisani Dossi, the Master is missing his crown.]",,
"[12] By putting my head under your arm, I will easily throw you to the ground.",,
"From this hold that I have gained, and by the way I hold you, I will lift you off the ground with my strength and throw you down under my feet head first with your body following. And as far as I am concerned, you will not be able to counter me.",,"[7r-c] ¶ Per la presa ch'i'o guadagnada al modo che io te tegno, de terra te levaro per mia forza, e sotto gli mei piedi te metero prima cum la testa che cum lo busto, e contrario non mi farai che sia justo."
,,
"[13] Because of my thumb pressing under your left ear, Your hold on me is failing, as you can see depicted here.",,
"When I press my thumb under your ear you will feel so much pain that you will go to the ground for sure, or I will make other hold or lock that will be worse than torture for you. The counter that can be made is the Sixth play [11] made against the Fifth Play [10] when he puts his hand underneath his opponent’s elbow. This counter can certainly be done to me here.",,"[7r-d] ¶ Lo dedo poles te tegno sotta la tua orechia che tanta doglia senti per quello che tu andarai in terra sença dubito, overo altra presa ti farò o ligadura che sara piu fiera che tortura. Lo contrario che fa lo Sesto zogho contra lo quinto quello che gli metti la mano sotto lo chubito. Aquello si po far a me tal contrario sença nessuno dubito."
,,
"[14] With great cunning you grabbed me from behind, But this move will throw you to the ground without fail.",,
"You seized me from behind in order to throw me to the ground, and I turned like this. And if I fail to throw you to the ground you will have a lucky escape. This play is a good finishing move, but unless this is done quickly, this remedy will fail.",,"[7v-a] ¶ Tu mi piglasti di dredo per butarme in terra e per questo modo io son voltado. Se io non te butto in terra tu naii[!] bon merchado. Questo zogho si'e un partido, chosi tosto sara fatto che'l contrario sara fallito."
,,
"[15] This is a grappling move that involves the Gambarola, But be aware that this move will not always work.",,
"This is a play that involves a throw over the leg [Gambarola] which is a risky move in grappling. So if you want to make this leg throw successfully, you will need to do it with power and speed.",,"[7v-b] ¶ Questo si'e un zogho da Gambarola che non e ben sigura chosa nel abrazare. E se alguno pur vol fare la gambarola, faza la cum forza e presta mente."
,,
"[16] This is a good hold to practice, For I can hold you without you being able to harm me.",,
"This is a finishing move and it is a good way to hold someone, because they cannot defend themselves. For the counter, the one who is being held should move as quickly as he can over to a wall or a post and drive himself backwards against it so that the man holding him breaks his head or his back against the aforementioned wall or post.",,"[7v-c] ¶ Questo si'e un partido, e si'e una strania presa a tegner uno a tal modo che non se po defendere. Lo contrario si'e che quello che tegnudo, vada al piu tosto che'l po apresso'l muro, o altro ligname e volti se per modo ch'ello faza a choluii che'lo tene romper la testa e la schena in lo ditto muro overo ligname."
,,
[17] I will strike you so hard in the groin That all of your strength will be taken away.,,
"This student strikes his opponent with a knee to the groin to gain advantage in order to throw him to the ground. To make the counter, when your opponent comes in quickly to strike you in the groin with his knee, seize his right leg under the knee with your right hand, and throw him to the ground.",,"[7v-d] ¶ Questo fere lo compagno cum lo zinochio in gli chogloni per avere piu avantazo di sbaterlo in terra. Lo contrario si'e che subito che lo compagno tra cum lo zinochio per ferirlo in gli cogloni, ch'elle debia cum la man dritta piglare la ditta gamba sotto lo zinochio e sbaterlo in terra."
,,
[18] I'll give you so much pain and suffering to your nose That I will immediately make you let go of me.,,
"If you seize me with both your arms underneath mine, I will strike with both my hands into your face. And even if you were well armored this would still make you let go. The counter of this play is to place your right hand under the left elbow of your opponent and push hard upwards, and you will be able to free yourself.",,"[8r-a] ¶ Per ço che tu me ha piglado cum li toi brazi de sotto gli miei, trambe le mie man te fiermo in lo volto. E si tu fossi ben armado, cum questo zogho io saria lassado. Lo contrario di questo zogho si'e che si lo scolaro che ven inzuriado del çugadore in lo volto, metta se la sua man dritta sotto, lo cubito del zugadore çoe del brazo sinistro e pença lu forte, e'lu scolar rimara in sua liberta."
,,
"[19] No doubt about it, with this move I will free myself And with this counter you will be thrown to the ground.",,
"This shows how I make the counter to the thirteenth play [18]. As you can see his hands have been removed from my face. And from this hold, if I fail to throw him to the ground I will be worthy of your disdain.",,"[8r-b] ¶ Lo contrario del ·ⅩⅢ· io fazo. Le soy mani del mio volto sono partide. E per lo modo ch'io lo preso e si lo tegno, Si ello non va in terra prendero grande disdegno."
"[In the Getty, the master grabs the scholar's right elbow rather than his left wrist.]",,
[20] I will hurt you under your chin so badly That you will quickly find yourself thrown onto your back.,,
"If you come to grips with both your arms underneath your opponent's, then you can attack his face as you see depicted, especially if his face is not protected. You can also transition from here into the third play of grappling.",,"[8r-c] ¶ Se tu pigli uno cum trambi li toii braci de sotto va cum le toii mane al suo volto segondo vedi che io fazo, e mazor mente s'ello e discoverto lo volto. Anchora puo tu vegnire in lo terzo zogho de Abraçare."
,,
"[21] With your hands in my face you can cause me trouble, But with this counter to your eyes, I will cause you even more trouble.",,
"This is the counter to the fourteenth play [20], and to any other play where my opponent has his hands in my face while grappling with me. If his face is unprotected, I push my thumbs into his eyes. If his face is protected, I push up under his elbow and quickly move to a presa or a ligadura.",,"[8r-d] ¶ Io son lo contrario dello ⅩⅢⅠ· zogho e de zaschuno che le mane me mette al volto in fatto d'abrazare. Li dedi polisi io metto in l'ochi soii s'il volto suo i'truovo discoperto. E si ello e coperto'l volto, io gli do volta al cubito o presa o ligadura io fazo subito."
"[In the Pisani Dossi, the Master is missing his crown.]",,
"[1] With a short staff I bind your neck, And if I fail to put you into the ground, you can count yourself lucky.",,
See how with a short staff I hold you bound by your neck. And from here if I wish to throw you to the ground I will have little trouble doing so. And if I choose to do worse to you I can keep this strong bind applied. And you will not be able to counter this play.,,"[8v-a] ¶ Guarda che cum uno bastonçello io te tegno per lo collo ligado. E in terra ti voglio butare, pocha briga per questo ho a fare ¶ che se io te volesse peço trattare in la forte ligadura te faria entrare. E llo contrario non mi porissi fare."
,,
"[2] If this short staff play does not put you on the ground, Then I will have no faith in the effectiveness of this art.",,
"If you were well armored then I would prefer to make this play against you than the previous one. Now that I have caught you between your legs with the short staff, you are stuck riding it like a horse, but you won't be trapped like this long before I turn you upside down onto your back.",,[8v-b] ¶ S'tu fossi ben armado in questo zogo piu tosto te faria. Considerando che t'o preso cum uno bastonzello tra le gambe. Tu sta a cavallo e'pocho ti po durare che cum la schena ti faro versare.
"[In the Getty, the Scholar steps between his opponent's legs.]",,
"[3] I am the Student of the Sixth Remedy Master of the Daga, who counters in this way with his dagger. And it is in his honor that I make this cover with my short staff. And from here I will rise quickly to my feet and I will make the plays of my Master. And this cover that I have made with a short staff can also be done with a hood. And the counter to this move is the same counter shown by my Master [in the dagger section].",,"[8v-c] ¶ Del Sexto Re ch'e rimedio di daga e contra per questo modo cum sua daga di quello son Scolaro. E per suo honore fazo tal coverta cum questo bastonçello. E subito mi levo in pe, e fazo gli zoghi del mio magistro. Questo che fazo cum lo bastonçello io'l'faria cum un p capuzo. El contrario del mio magistro si e mio contrario."
"[Based on the description, the placement of this illustration is probably an error and it more likely belongs to the following play.]",,
"[4] I have taken this remedy from the Eighth Remedy Master of the Dagger, and I can defend myself armed only with this short staff. And having made this cover I rise to my feet, and I can then make all of the plays of my Master. And I could defend myself in this way equally well with a hood or a piece of rope. And the counter to this move is the same counter shown by my Master.",,"[8v-d] ¶ Del octavo Re ch'e rimedio io fazo questo zogho E pur cum questo bastonzello fazo mia deffesa. E fatta la coverta io in pe mi drizzo. E li zoghi del mio magistro posso fare. E cum uno capuzo overo una corda te faria altretale. El contrario ch'e del mio magistro, si'e mio."
"[Based on the description, the placement of this illustration is probably an error and it more likely belongs to the previous play.]",,
,,
